date,tweet,sentiment_score
2025-09-03 07:12:27+00:00,"@RUHWEZAFRANCIS @EPLBible The video shows former Liverpool players James Milner and Adam Lallana (now at Brighton) hugging current Liverpool stars like Virgil van Dijk after a match at Anfield. The conversation isn't audible, but it's likely friendly congratulations on the game. They're happy due to the",0.9604
2025-09-03 03:09:31+00:00,@MenInBlazers James Milner is “…essentially the footballing Betty White” 😂😂😂 Great Pod this week!,0.92
2025-09-03 02:22:04+00:00,"James Milner is both the 2nd youngest and 2nd oldest player in history to score a goal in the Premier League. 

Incredible longevity from a legend of the game. 🏴󠁧󠁢󠁥󠁮󠁧󠁿🍷 https://t.co/vm3kMTQUd5",0.0
2025-09-03 00:19:11+00:00,@muskistbesessen @HH_comps An assist that James Milner would get on a regular day.,0.0
2025-09-02 22:54:12+00:00,@TouchlineX Raheem Sterling and James Milner have more… their still active prem players,0.4019
2025-09-02 22:14:49+00:00,"@vivekgatty23 @jackoefc27 Raheem sterling  signed a new contract so you got money when you sold him to city.
You slated him and still boo him!
James Milner ran his contract down at city so he could get the transfer fee for himself!
You  say he’s a great bloke!
🤔🤔🤔",0.7163
2025-09-02 21:52:34+00:00,Slot's very own James Milner https://t.co/4XTT2hNCu5,0.0
2025-09-02 21:44:26+00:00,"@MikeTvans1 @Football__Tweet James Milner's goal as the second-youngest scorer was in 2002 (December 26, for Leeds vs. Sunderland). Manchester United won the Premier League that season (2002-03).",0.7579
2025-09-02 21:42:43+00:00,"Brajan Gruda reveals how James Milner inspired him for Man City winner
#BHAFC
https://t.co/E1HNQsOKcJ",0.7906
2025-09-02 21:19:36+00:00,It’s mad that James Milner scored a goal in the Premier League at the weekend but when he scored his first goal in the Premier League Tony Blair had only been PM for 5 years.,-0.2732
2025-09-02 20:37:24+00:00,"@liv158963 @michael_reid11 Don’t disagree, but I do think Grav/Mac/Wirtz will be the most common midfield 3 this season.

Can see Dom becoming like a deluxe James Milner… Rotates around all 3 midfield positions, shown he can play fullback, won’t shock me if he does a bit out wide.

Will get his minutes.",0.2846
2025-09-02 20:26:22+00:00,"James Milner scored under manager Fabian Hürzeler, becoming only the tenth player in PL history to score a goal while being older than their manager. At 7 years and 53 days, this marks the largest age gap recorded so far.",0.0
2025-09-02 20:22:23+00:00,"James Milner: the 2nd-youngest AND 2nd-oldest scorer in Premier League history. 🤯

https://t.co/13BdssrTrr

#Arsenal #AVFC #AFCB #BrentfordFC #BHAFC #BurnleyOfficial #CFC #CPFC #EFC #FFC #LUFC #LFC #ManCity #MUFC #NUFC #NFFC #SAFC #THFC #WHUFC #WWFC #PremierLeague #GW3 https://t.co/uS0otU3LMq",0.0
2025-09-02 19:36:16+00:00,@Sporf James Milner is still FUGLEY 🤷‍♂️,0.0
2025-09-02 18:21:13+00:00,James Milner is both the 2nd youngest and 2nd oldest player in history to score a goal in the Premier League 🥶 https://t.co/BtlR8lPlmw,0.0
2025-09-02 18:19:10+00:00,"@amaloversclub @Football__Tweet James Milner is a Premier League icon with remarkable longevity. He's won 3 league titles, a Champions League, 2 FA Cups, and more. Holds records as 2nd youngest and oldest scorer in PL history, with 23 seasons played. Versatile, professional, and still performing at Brighton.",0.9201
2025-09-02 18:17:00+00:00,"James Milner is both the 2nd youngest and 2nd oldest player in history to score a goal in the Premier League. 

Incredible longevity from a legend of the game. 🏴󠁧󠁢󠁥󠁮󠁧󠁿🍷 https://t.co/m0Qamu9rtW",0.0
